t_id	chr	strand	start	end	t_name	num_exons	length	---	gene_name	cov	FPKM
1	211000022278158	+	592	1036	FBtr0114187	1	445	---	CR40502	0.000000	0.000000
2	211000022278279	-	11634	12709	FBtr0347033	1	1076	---	CR45932	0.055762	0.080966
3	211000022278282	+	518	2511	FBtr0114261	1	1994	---	CR41590	0.030090	0.043691
4	211000022278298	+	648	1614	FBtr0114196	1	967	---	CR40571	0.000000	0.000000
5	211000022278307	-	1	824	FBtr0114201	1	824	---	CR40582	0.023968	0.034801
6	211000022278309	+	1	1110	FBtr0114198	1	1110	---	CR40573	0.000000	0.000000
7	211000022278436	-	1551	2815	FBtr0300146	1	1265	---	Su(Ste):CR42418	0.742688	1.078380
8	211000022278449	-	528	1635	FBtr0308947	2	1051	---	Mst77Y-16Psi	0.000000	0.000000
9	211000022278498	-	13189	13940	FBtr0114286	1	752	---	CR42195	0.733599	1.065183
10	211000022278522	-	390	2086	FBtr0114194	1	1697	---	CR40561	0.000000	0.000000
11	211000022278603	-	1	834	FBtr0114206	1	834	---	CR40613	0.000000	0.000000
12	211000022278604	+	1	265	FBtr0114202	1	265	---	CR40594	0.000000	0.000000
13	211000022278664	-	1	1088	FBtr0114205	1	1088	---	CR40611	0.000000	0.000000
14	211000022278724	-	930	2904	FBtr0114259	1	1975	---	CR41583	0.497215	0.721954
15	211000022278750	+	1	1134	FBtr0114207	1	1134	---	CR40621	2.356261	3.421282
16	211000022278760	-	562	879	FBtr0302344	2	264	---	CG40635	0.568182	0.824998
17	211000022278875	+	1	2099	FBtr0114274	1	2099	---	CR41606	0.000000	0.000000
18	211000022278877	+	1	549	FBtr0114208	1	549	---	CR40639	5.237523	7.604862
19	211000022278878	+	1	569	FBtr0114209	1	569	---	CR40640	7.429611	10.787765
20	211000022278879	+	1	559	FBtr0114210	1	559	---	CR40641	0.062612	0.090912
21	211000022278880	+	1	540	FBtr0114253	1	540	---	CR41544	0.162963	0.236622
22	211000022278985	-	497	1020	FBtr0114284	1	524	---	CR41620	0.025445	0.036946
23	211000022279055	+	384	1123	FBtr0114214	1	740	---	CR40668	33.585091	48.765415
24	211000022279108	+	1	566	FBtr0114211	1	566	---	CR40642	2.076325	3.014815
25	211000022279132	+	1	1005	FBtr0114283	1	1005	---	CR41619	26.580860	38.595303
26	211000022279134	+	1	1012	FBtr0114216	1	1012	---	CR40679	2.374440	3.447677
27	211000022279165	-	14	1118	FBtr0300167	1	1105	---	Su(Ste):CR42439	0.018100	0.026281
28	211000022279188	+	1449	2180	FBtr0300105	3	615	---	SteXh:CG42398	2.240227	3.252800
29	211000022279222	+	1	506	FBtr0114218	1	506	---	CR40712	42.023090	61.017357
30	211000022279264	-	180	614	FBtr0304147	1	435	---	CR40719	0.133333	0.193599
31	211000022279342	+	1	530	FBtr0114222	1	530	---	CR40743	0.000000	0.000000
32	211000022279392	-	1	1356	FBtr0300161	1	1356	---	Su(Ste):CR42433	0.033923	0.049256
33	211000022279446	+	1	1266	FBtr0114275	1	1266	---	CR41607	0.093207	0.135336
34	211000022279528	+	2	463	FBtr0114285	1	462	---	CR41621	0.000000	0.000000
35	211000022279529	+	1	838	FBtr0114223	1	838	---	CR40766	5.760501	8.364223
36	211000022279531	-	626	1200	FBtr0114280	1	575	---	CR41613	49.685829	72.143616
37	211000022279555	-	51	1080	FBtr0114257	1	1030	---	CR41550	0.000000	0.000000
38	211000022279681	+	401	1054	FBtr0300134	1	654	---	Su(Ste):CR42406	0.015291	0.022202
39	211000022279708	+	608	1275	FBtr0114249	1	668	---	CR41535	43.086311	62.561150
40	211000022280133	-	220	2161	FBtr0114262	1	1942	---	CR41591	0.000000	0.000000
41	211000022280328	-	7386	9527	FBtr0347010	4	1428	---	CG41561	0.000000	0.000000
42	211000022280341	-	1	740	FBtr0347034	1	740	---	CR45933	0.000000	0.000000
43	211000022280347	-	7	354	FBtr0302352	1	348	---	CR40947	0.114943	0.166897
44	211000022280481	+	1230	2419	FBtr0300141	1	1190	---	Su(Ste):CR42411	0.006723	0.009762
45	211000022280494	-	1	1443	FBtr0300139	1	1443	---	Su(Ste):CR42408	0.072996	0.105990
46	211000022280494	-	2048	3374	FBtr0300138	1	1327	---	Su(Ste):CR42409	0.012057	0.017507
47	211000022280645	+	1	765	FBtr0114228	1	765	---	CR40959	0.878431	1.275478
48	211000022280703	+	699	1770	FBtr0347035	1	1072	---	CR45934	0.000000	0.000000
49	2L	+	7529	9484	FBtr0300689	2	1880	---	CG11023	1.102660	1.601058
50	2L	+	7529	9484	FBtr0300690	3	1802	---	CG11023	0.000000	0.000000
51	2L	+	7529	9484	FBtr0330654	2	1844	---	CG11023	0.000000	0.000000
52	2L	-	9839	18570	FBtr0078170	9	5248	P08111	l(2)gl	14.210197	20.633148
53	2L	-	9839	18570	FBtr0078171	10	5391	P08111	l(2)gl	0.011522	0.016730
